ID;Code;Path;Name;Level;Leaf;New with tags;New without tags;Very good;Good;Satisfactory;Not fully functional;Brand;Colour;Author;Title;ISBN;Package size;All shippable;Heavy shipping;Light bulky;Heavy bulky;sql check;id;code;title;sorting_order;color_field_visibility;brand_field_visibility;size_field_visibility;size_group_id;isbn_field_visibility;book_title_field_visibility;author_field_visibility;package_size_group
5474;OS_STAPLE_REMOVERS;Home/Office supplies/Staplers & hole punches/Staple removers;Staple removers;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;All shippable;;;;;;;;;;;;;;;;;
5475;OS_STAPLES;Home/Office supplies/Staplers & hole punches/Staples;Staples;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;All shippable;;;;;;;;;;;;;;;;;
5476;OS_HOLE_PUNCHES;Home/Office supplies/Staplers & hole punches/Hole punches;Hole punches;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;All shippable;;;;;;;;;;;;;;;;;
5440;OS_PRESENTATION_SUPPLIES;Home/Office supplies/Presentation supplies;Presentation supplies;3;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;-;;;;;;;;;;;;;;;;;
5477;OS_FLIPCHARTS;Home/Office supplies/Presentation supplies/Flipcharts;Flipcharts;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;Light bulky;;;;;;;;;;;;;;;;;
5478;OS_CHALKBOARDS;Home/Office supplies/Presentation supplies/Chalkboards;Chalkboards;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;Light bulky;;;;;;;;;;;;;;;;;
5479;OS_WHITEBOARDS;Home/Office supplies/Presentation supplies/Whiteboards;Whiteboards;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;Light bulky;;;;;;;;;;;;;;;;;
5480;OS_WHITEBOARD_MARKERS;Home/Office supplies/Presentation supplies/Whiteboard markers;Whiteboard markers;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;All shippable;;;;;;;;;;;;;;;;;
5481;OS_BOARD_ERASERS;Home/Office supplies/Presentation supplies/Board erasers;Board erasers;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;All shippable;;;;;;;;;;;;;;;;;
5482;OS_PRESENTATION_CLICKERS;Home/Office supplies/Presentation supplies/Presentation clickers;Presentation clickers;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;All shippable;;;;;;;;;;;;;;;;;
5441;OS_OFFICE_ELECTRONICS;Home/Office supplies/Office electronics;Office electronics;3;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;-;;;;;;;;;;;;;;;;;
5483;OS_DOCUMENT_CAMERAS;Home/Office supplies/Office electronics/Document cameras;Document cameras;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;Heavy;;;;;;;;;;;;;;;;;
5484;OS_LAMINATORS;Home/Office supplies/Office electronics/Laminators;Laminators;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;Heavy;;;;;;;;;;;;;;;;;
5485;OS_HEAT_SEALERS;Home/Office supplies/Office electronics/Heat sealers;Heat sealers;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;Heavy;;;;;;;;;;;;;;;;;
5486;OS_TRANSLATORS;Home/Office supplies/Office electronics/Electronic dictionaries & translators;Electronic dictionaries & translators;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;All shippable;;;;;;;;;;;;;;;;;
5487;OS_BINDING_MACHINES;Home/Office supplies/Office electronics/Binding machines;Binding machines;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;Light bulky;;;;;;;;;;;;;;;;;
5488;OS_PAPER_CUTTING;Home/Office supplies/Office electronics/Paper cutting devices;Paper cutting devices;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;Light bulky;;;;;;;;;;;;;;;;;
5489;OS_PAPER_SHREDDERS;Home/Office supplies/Office electronics/Paper shredders;Paper shredders;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;Light bulky;;;;;;;;;;;;;;;;;
5490;OS_TYPEWRITERS;Home/Office supplies/Office electronics/Typewriters;Typewriters;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;Heavy;;;;;;;;;;;;;;;;;
5442;OS_SAFES;Home/Office supplies/Safes;Safes;3;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;Heavy bulky;;;;;;;;;;;;;;;;;
5280;AC_DRAWING_MEDIA_PENS;Hobbies & collectables/Arts & crafts/Drawing & sketching/Drawing & sketching media/Art pens;Art pens;5;TRUE;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;All shippable;;;;;;;;;;;;;;;;;
5278;AC_DRAWING_MEDIA_PENCILS;Hobbies & collectables/Arts & crafts/Drawing & sketching/Drawing & sketching media/Art pencils;Art pencils;5;TRUE;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;All shippable;;;;;;;;;;;;;;;;;
